time,x1,y1,x2,y2
0.000,328.971,472.700,343.168,378.274
0.017,328.567,472.800,341.819,378.667
0.033,329.233,472.594,337.991,379.293
0.050,329.860,472.475,337.961,379.601
0.067,329.574,472.400,335.334,380.324
0.083,329.574,472.400,333.081,381.201
0.100,330.127,472.371,331.757,381.683
0.117,330.603,472.156,330.311,382.571
0.133,330.622,472.203,328.665,383.943
0.150,330.456,472.208,326.866,386.109
0.167,331.808,471.738,324.183,389.210
0.183,331.216,471.709,322.959,390.451
0.200,332.178,471.297,321.461,391.912
0.217,332.841,470.511,319.328,394.298
0.233,333.216,470.265,317.823,396.473
0.250,334.658,468.954,316.615,399.370
0.267,335.296,468.299,315.403,402.680
0.283,336.301,467.039,314.149,406.083
0.300,337.132,466.042,313.038,408.811
0.317,337.744,465.481,312.205,410.675
0.333,338.252,464.775,311.673,411.921
0.350,338.868,463.856,310.975,414.279
0.367,339.162,463.399,309.879,416.817
0.383,339.716,462.818,309.489,417.948
0.400,340.049,462.491,309.152,418.880
0.417,340.292,461.976,308.202,421.840
0.433,340.833,461.076,307.863,423.028
0.450,340.923,460.992,307.162,424.839
0.467,341.760,459.747,306.959,426.040
0.483,341.787,459.656,306.408,427.598
0.500,342.199,458.897,305.968,429.147
0.517,342.582,458.361,305.641,429.922
0.533,342.796,457.787,305.392,431.295
0.550,342.800,457.504,304.770,432.886
0.567,343.325,456.573,304.666,433.559
0.583,343.199,456.717,304.224,435.113
0.600,343.665,456.051,303.971,436.120
0.617,343.721,455.652,303.649,437.319
0.633,343.707,455.559,303.126,438.866
0.650,343.713,455.298,303.331,438.592
0.667,344.409,454.263,303.067,439.332
0.683,344.427,453.919,302.711,440.056
0.700,344.544,453.883,302.664,440.515
0.717,344.577,453.463,302.367,441.095
0.733,344.834,453.241,301.583,443.806
0.750,344.493,453.707,301.594,444.728
0.767,344.500,453.374,301.535,445.717
0.783,344.512,453.394,301.600,445.926
0.800,344.561,452.599,302.273,446.932
0.817,344.716,450.455,304.177,448.308
0.833,344.372,448.761,305.694,448.615
0.850,344.130,447.877,306.047,448.694
0.867,343.517,445.246,308.045,449.400
0.883,343.203,443.727,309.922,449.684
0.900,342.794,442.777,310.120,449.683
0.917,342.385,441.321,311.740,449.933
0.933,342.041,439.975,312.292,449.944
0.950,341.495,438.351,313.394,449.982
0.967,341.313,437.905,315.035,450.568
0.983,340.877,436.910,316.337,450.856
1.000,341.005,436.931,316.867,450.848
1.017,340.799,436.349,316.789,450.847
1.033,340.060,434.776,318.136,451.149
1.050,339.986,434.162,318.787,451.310
1.067,339.824,433.549,319.300,451.339
1.083,339.768,433.369,319.951,451.374
1.100,339.228,432.379,321.149,451.476
1.117,339.252,432.117,320.881,451.758
1.133,339.478,432.083,322.216,451.954
1.150,339.274,431.625,322.598,452.210
1.167,338.421,430.364,322.757,452.009
1.183,338.181,429.857,323.082,452.008
1.200,335.962,428.394,324.277,452.043
1.217,335.021,428.386,325.974,452.508
1.233,333.057,427.936,326.623,452.477
1.250,331.964,427.550,326.897,452.153
1.267,329.801,427.223,327.640,451.973
1.283,328.526,427.328,327.487,452.187
1.300,328.020,427.356,328.406,452.156
1.317,326.235,427.563,329.555,452.000
1.333,325.786,427.581,331.126,451.830
1.350,324.719,427.785,331.194,452.029
1.367,323.038,428.226,332.617,451.626
1.383,323.201,428.319,333.615,451.343
1.400,322.333,428.558,335.666,450.520
1.417,320.970,428.888,337.042,450.064
1.433,320.548,429.139,339.919,448.922
1.450,319.560,429.491,341.883,447.712
1.467,317.869,430.201,343.330,446.991
1.483,316.817,431.165,343.356,447.014
1.500,316.765,431.747,343.539,447.208
1.517,316.560,432.753,343.759,446.476
1.533,316.506,433.766,343.854,446.572
1.550,316.461,434.486,344.017,443.549
1.567,316.415,436.901,343.760,443.316
1.583,316.895,437.944,343.453,441.974
1.600,317.313,439.642,343.329,441.611
1.617,317.706,441.066,343.070,440.664
1.633,318.223,441.710,342.951,439.973
1.650,318.376,442.044,342.598,439.213
1.667,319.011,443.443,342.235,438.439
1.683,319.119,443.786,342.202,437.909
1.700,319.841,445.016,341.188,437.187
1.717,320.289,446.196,339.627,436.227
1.733,321.838,447.112,337.636,435.999
1.750,323.386,448.028,335.645,435.771
1.767,324.935,448.943,333.654,435.544
1.783,325.468,450.472,331.663,435.316
1.800,326.000,452.000,329.672,435.088
1.817,329.582,451.690,327.681,434.860
1.833,331.131,452.606,325.690,434.633
1.850,332.680,453.521,323.699,434.405
1.867,333.916,453.130,321.722,434.559
1.883,336.255,452.592,320.672,434.937
1.900,337.323,452.641,316.210,436.342
1.917,340.508,451.595,315.680,436.962
1.933,341.874,451.279,314.892,438.664
1.950,343.239,450.963,314.104,440.366
1.967,344.605,450.646,313.316,442.068
1.983,349.578,448.702,313.296,444.570
2.000,354.932,447.926,313.072,447.092
2.017,358.731,447.816,312.450,449.960
2.033,361.682,447.355,312.209,451.802
2.050,363.998,447.792,311.714,453.318
2.067,365.372,449.685,311.174,455.962
2.083,365.982,451.502,310.831,457.591
2.100,366.405,454.174,310.418,459.319
2.117,366.132,456.660,310.259,461.090
2.133,366.022,457.775,309.963,462.360
2.150,365.217,459.636,309.780,463.938
2.167,364.593,461.243,309.618,465.582
2.183,364.004,463.258,309.483,465.475
2.200,363.362,464.687,309.371,467.633
2.217,362.655,466.197,308.936,468.230
2.233,362.439,466.609,308.887,469.643
2.250,361.605,468.268,308.767,470.771
2.267,361.023,469.946,308.603,472.970
2.283,360.635,470.717,308.556,473.214
2.300,359.844,471.984,308.172,474.006
2.317,358.512,474.519,308.101,475.150
2.333,357.204,475.556,307.797,475.956
2.350,354.660,477.220,307.891,478.117
2.367,351.255,478.774,307.535,478.754
2.383,348.951,479.917,307.526,479.487
2.400,345.507,481.119,307.389,480.561
2.417,342.206,482.151,306.953,480.732
2.433,340.623,482.734,306.634,481.172
2.450,336.685,484.054,306.486,481.185
2.467,333.994,485.239,305.980,481.399
2.483,331.668,486.058,303.714,484.661
2.500,330.624,486.857,296.909,489.014
2.517,328.740,487.430,289.320,494.852
2.533,327.624,487.942,284.664,500.541
2.550,325.140,488.799,282.209,504.843
2.567,324.919,488.798,281.419,511.094
2.583,323.729,489.152,280.966,514.318
2.600,322.240,489.486,281.902,518.321
