time,x1,y1,x2,y2
0.000,443.072,172.822,380.273,187.361
0.017,442.254,171.670,380.710,187.127
0.033,441.255,171.379,380.993,186.990
0.050,440.110,168.777,380.973,187.001
0.067,439.064,166.221,382.299,186.404
0.083,437.556,163.270,382.724,186.100
0.100,436.448,161.485,382.724,186.100
0.117,435.792,160.050,383.123,185.874
0.133,435.078,158.725,383.230,186.149
0.150,434.787,158.187,383.175,186.357
0.167,433.834,156.593,383.810,186.021
0.183,433.021,155.457,383.916,186.069
0.200,432.417,153.942,384.678,185.625
0.217,431.589,152.613,385.649,185.086
0.233,431.162,152.093,385.489,185.187
0.250,430.614,151.269,385.673,185.164
0.267,430.070,150.607,385.883,184.988
0.283,429.506,149.654,386.278,185.015
0.300,428.503,148.305,386.740,184.737
0.317,428.465,148.113,387.237,184.755
0.333,428.292,147.681,386.966,184.891
0.350,427.730,146.788,387.143,185.038
0.367,427.096,145.775,388.231,184.446
0.383,426.427,144.863,388.587,184.291
0.400,426.267,144.656,388.495,184.626
0.417,425.841,143.757,388.995,184.364
0.433,425.841,143.757,389.684,184.245
0.450,425.841,143.757,389.830,184.385
0.467,425.610,143.402,389.965,184.800
0.483,425.661,143.366,390.821,184.759
0.500,425.586,143.425,393.430,184.496
0.517,424.817,142.232,393.894,184.394
0.533,424.523,141.651,395.635,184.508
0.550,424.269,141.256,396.283,184.673
0.567,424.460,141.668,399.131,184.347
0.583,424.464,141.121,400.854,184.593
0.600,424.155,141.297,401.745,184.528
0.617,423.930,140.688,402.986,184.271
0.633,423.459,139.862,403.451,184.353
0.650,423.227,139.591,403.165,184.427
0.667,423.186,139.424,404.162,184.596
0.683,422.621,138.634,405.978,184.310
0.700,422.621,138.634,405.844,184.457
0.717,422.467,138.349,407.197,184.472
0.733,422.453,138.368,407.945,184.468
0.750,422.561,138.729,408.123,184.521
0.767,421.797,137.705,408.682,184.359
0.783,421.761,137.626,409.528,184.299
0.800,421.583,137.239,409.701,184.155
0.817,421.586,137.208,410.646,184.229
0.833,421.586,137.208,411.184,184.219
0.850,421.586,137.208,411.775,184.247
0.867,421.390,136.957,411.904,184.267
0.883,420.557,135.713,413.814,184.123
0.900,419.951,134.806,413.880,183.904
0.917,417.927,134.154,414.104,183.893
0.933,417.132,134.937,414.701,183.719
0.950,415.676,135.142,415.435,183.731
0.967,411.582,134.948,415.882,183.743
0.983,408.917,134.994,416.449,183.714
1.000,406.789,135.218,416.727,183.745
1.017,404.554,135.182,416.801,183.777
1.033,403.190,135.228,416.832,183.593
1.050,400.558,135.688,417.701,183.780
1.067,399.364,135.980,417.520,183.734
1.083,398.055,136.307,418.026,183.946
1.100,396.472,136.760,418.480,183.718
1.117,395.376,137.247,419.091,183.920
1.133,394.487,137.554,418.392,183.808
1.150,394.242,137.699,419.668,183.924
1.167,392.428,138.081,420.139,183.911
1.183,391.164,138.352,420.236,183.949
1.200,390.369,138.511,420.236,183.949
1.217,389.704,138.720,420.791,183.946
1.233,388.821,139.088,420.314,183.793
1.250,388.366,139.312,422.052,183.925
1.267,388.501,139.307,422.052,183.925
1.283,387.123,139.705,422.477,183.570
1.300,386.499,139.820,422.843,183.601
1.317,386.480,140.002,423.169,183.504
1.333,384.831,140.573,424.812,183.637
1.350,384.357,140.564,425.722,183.449
1.367,382.471,141.324,426.578,182.710
1.383,382.147,141.322,426.679,181.718
1.400,381.867,141.377,427.331,180.833
1.417,381.620,141.316,428.048,180.135
1.433,381.394,141.575,429.363,178.765
1.450,380.077,142.070,429.529,178.148
1.467,379.704,142.137,430.799,176.495
1.483,379.185,142.255,431.468,175.568
1.500,378.789,142.231,432.067,174.145
1.517,378.354,142.454,432.241,173.684
1.533,378.098,142.501,432.416,173.224
1.550,377.815,142.749,433.006,171.993
1.567,376.562,143.251,432.980,171.619
1.583,376.366,143.398,433.435,170.986
1.600,376.446,143.377,433.487,170.245
1.617,375.976,143.472,433.832,169.504
1.633,376.160,143.476,434.094,168.916
1.650,376.087,143.471,434.313,168.246
1.667,374.603,143.714,434.658,167.688
1.683,373.359,144.442,434.736,166.798
1.700,373.018,145.106,434.741,166.737
1.717,372.699,146.420,435.383,165.766
1.733,373.123,148.105,435.490,165.349
1.750,372.883,151.319,435.627,164.452
1.767,372.392,154.782,435.647,164.477
1.783,372.422,157.255,435.662,163.967
1.800,372.097,160.552,436.161,163.160
1.817,372.264,161.994,436.196,162.861
1.833,372.038,165.680,435.920,163.076
1.850,372.444,167.234,436.122,162.354
1.867,372.411,168.789,436.104,162.298
1.883,372.302,170.652,436.515,161.346
1.900,372.274,171.798,436.736,160.968
1.917,372.426,173.191,436.704,160.729
1.933,372.994,175.062,436.659,160.463
1.950,372.854,176.534,437.026,159.769
1.967,372.996,177.546,437.186,158.966
1.983,373.194,179.082,437.186,158.990
2.000,373.399,179.984,436.642,159.440
2.017,373.406,181.417,437.133,158.575
2.033,373.371,181.792,437.254,158.108
2.050,373.757,183.829,437.272,158.015
2.067,374.154,184.510,437.597,157.394
2.083,373.986,184.901,437.458,157.439
2.100,374.233,186.242,437.415,156.904
2.117,374.312,186.990,437.327,157.112
2.133,374.624,188.218,437.819,156.188
2.150,374.628,189.122,437.829,155.950
2.167,375.184,190.747,438.281,154.893
2.183,375.393,191.668,438.363,154.936
2.200,375.393,192.117,438.469,154.157
2.217,375.472,193.241,438.048,154.275
2.233,375.307,192.677,438.048,154.275
2.250,375.477,193.555,438.453,153.405
2.267,375.530,194.179,438.504,153.234
2.283,375.654,195.177,438.150,153.639
2.300,375.929,196.354,438.603,152.782
2.317,376.274,197.429,438.420,153.034
2.333,376.369,197.977,438.862,152.230
2.350,376.340,198.053,438.986,151.695
2.367,376.380,198.459,439.082,151.455
2.383,377.090,200.756,439.172,151.303
2.400,377.878,200.975,438.953,151.464
2.417,380.521,202.590,439.114,151.143
2.433,384.608,204.600,439.441,150.228
2.450,387.339,205.790,439.441,150.228
2.467,390.007,207.491,439.592,149.997
2.483,391.801,208.453,439.790,149.192
2.500,395.804,210.652,440.224,149.522
2.517,397.995,211.947,441.732,149.376
2.533,401.549,213.198,442.518,149.888
2.550,403.715,214.264,445.829,150.374
2.567,404.857,214.728,447.614,151.755
2.583,406.697,215.429,449.312,152.896
2.600,409.200,216.351,450.799,154.127
2.617,410.027,216.832,451.039,154.559
2.633,412.316,217.807,453.204,155.956
2.650,413.289,218.084,454.972,157.380
2.667,414.182,218.363,455.773,157.935
2.683,416.091,219.308,456.627,158.602
2.700,417.629,219.727,457.356,159.249
2.717,418.891,220.219,458.224,160.090
2.733,419.542,220.472,459.062,160.655
2.750,421.462,221.121,459.305,161.103
2.767,422.630,221.711,460.285,161.868
2.783,424.179,222.075,460.996,162.346
2.800,424.758,222.298,461.396,162.816
2.817,425.905,222.737,462.245,163.513
2.833,427.015,223.152,462.130,163.558
2.850,427.455,223.285,462.655,163.966
2.867,427.954,223.423,463.191,164.273
2.883,429.227,223.575,464.334,164.855
2.900,430.193,224.202,464.711,165.278
2.917,430.449,224.171,465.139,165.523
2.933,432.142,224.820,465.865,166.113
2.950,433.001,224.930,466.678,166.631
2.967,434.103,225.405,466.580,166.595
2.983,434.139,225.419,466.938,166.731
3.000,435.189,225.837,467.415,167.011
3.017,436.284,226.133,468.002,167.406
3.033,436.996,226.477,468.353,167.582
3.050,437.434,226.387,468.439,167.578
3.067,437.519,226.667,469.055,167.901
3.083,439.028,227.007,469.517,168.181
3.100,439.277,227.063,469.722,168.319
3.117,440.676,227.427,469.999,168.511
3.133,440.552,227.502,470.871,169.178
3.150,442.119,228.253,471.788,170.515
3.167,442.179,228.063,473.121,173.453
3.183,443.148,228.553,474.808,176.784
3.200,443.198,228.533,477.217,181.024
3.217,444.148,228.804,478.863,183.589
3.233,445.109,229.215,480.582,185.895
3.250,445.398,229.040,483.133,189.605
3.267,446.342,229.468,484.383,191.403
3.283,446.645,229.545,485.924,193.190
3.300,447.246,229.691,487.884,196.058
3.317,447.447,229.750,489.461,198.192
3.333,447.626,229.691,490.919,200.293
3.350,449.180,230.243,491.726,201.403
3.367,450.019,230.581,493.221,203.432
3.383,450.631,230.842,494.496,204.870
3.400,450.347,230.745,495.724,206.256
3.417,451.505,231.112,496.098,207.335
3.433,451.062,230.995,497.271,208.739
3.450,451.660,231.033,498.579,209.742
3.467,452.163,231.182,499.069,210.549
3.483,452.156,231.103,500.114,212.160
3.500,452.889,231.463,501.018,213.250
3.517,453.974,231.704,502.175,214.250
3.533,454.303,231.790,502.787,215.271
3.550,453.993,231.683,503.917,216.526
3.567,454.555,231.799,504.993,217.550
3.583,455.172,232.208,505.364,218.208
3.600,455.262,232.279,506.471,219.360
3.617,454.907,232.113,506.714,219.809
3.633,455.554,232.369,507.524,220.792
3.650,456.976,232.849,508.475,221.753
3.667,457.475,233.109,509.603,223.189
3.683,456.879,232.634,509.787,223.413
3.700,457.078,232.739,510.798,224.500
3.717,458.594,233.419,511.365,224.839
3.733,458.566,233.289,511.721,225.398
3.750,458.494,233.251,512.626,226.364
3.767,459.103,233.442,513.880,227.399
3.783,459.533,233.589,513.419,227.179
3.800,459.152,233.302,514.269,227.929
3.817,460.168,233.836,515.323,229.442
3.833,461.323,234.024,515.833,229.793
3.850,463.417,233.562,516.264,230.157
3.867,465.353,232.986,516.372,230.359
